Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	peptide cross-linking (GO:0018149)	4/31	2.701933e-05	2.561587e-02	0	0	2.699286e+01	2.839368e+02	SPRR2E;TGM1;SPRR1A;IVL
GO_Biological_Process_2021	regulation of homotypic cell-cell adhesion (GO:0034110)	3/13	4.819529e-05	2.561587e-02	0	0	5.421000e+01	5.388609e+02	BLK;SYK;RDX
GO_Biological_Process_2021	positive regulation of leukocyte degranulation (GO:0043302)	3/14	6.108713e-05	2.561587e-02	0	0	4.927934e+01	4.781677e+02	FGR;SYK;F2RL1
GO_Biological_Process_2021	regulation of mast cell degranulation (GO:0043304)	3/16	9.320881e-05	2.874748e-02	0	0	4.169371e+01	3.869455e+02	BLK;FGR;SYK
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	3/19	1.593039e-04	2.874748e-02	0	0	3.387102e+01	2.961918e+02	MT2A;MT3;SNCA
GO_Biological_Process_2021	regulation of platelet activation (GO:0010543)	3/22	2.500693e-04	2.874748e-02	0	0	2.851866e+01	2.365273e+02	BLK;SYK;F2
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	9/371	2.585508e-04	2.874748e-02	0	0	4.667579e+00	3.855615e+01	TCL1B;CD4;RALB;DGKQ;TXN;IQGAP1;F2;MT3;SNCA
GO_Biological_Process_2021	response to copper ion (GO:0046688)	3/23	2.863990e-04	2.874748e-02	0	0	2.709136e+01	2.210147e+02	MT2A;MT3;SNCA
GO_Biological_Process_2021	triglyceride catabolic process (GO:0019433)	3/23	2.863990e-04	2.874748e-02	0	0	2.709136e+01	2.210147e+02	FABP2;LIPC;PNPLA4
GO_Biological_Process_2021	antigen processing and presentation of lipid antigen via MHC class Ib (GO:0048003)	2/5	3.129079e-04	2.874748e-02	0	0	1.194234e+02	9.636995e+02	CD1E;CD1B
GO_Biological_Process_2021	antigen processing and presentation, endogenous lipid antigen via MHC class Ib (GO:0048006)	2/5	3.129079e-04	2.874748e-02	0	0	1.194234e+02	9.636995e+02	CD1E;CD1B
GO_Biological_Process_2021	antigen processing and presentation, exogenous lipid antigen via MHC class Ib (GO:0048007)	2/5	3.129079e-04	2.874748e-02	0	0	1.194234e+02	9.636995e+02	CD1E;CD1B
GO_Biological_Process_2021	positive regulation of mast cell activation involved in immune response (GO:0033008)	2/5	3.129079e-04	2.874748e-02	0	0	1.194234e+02	9.636995e+02	FGR;SYK
GO_Biological_Process_2021	innate immune response (GO:0045087)	8/302	3.199243e-04	2.874748e-02	0	0	5.077551e+00	4.086122e+01	CFD;BLK;FGR;SYK;MX1;IFIT1;S100B;SNCA
