Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,peptide cross-linking (GO:0018149),4/31,2.701933158997244e-05,0.0256158711529573,0,0,26.992864424057085,283.9368061868192,SPRR2E;TGM1;SPRR1A;IVL
GO_Biological_Process_2021,regulation of homotypic cell-cell adhesion (GO:0034110),3/13,4.8195291737570064e-05,0.0256158711529573,0,0,54.21,538.8609104044198,BLK;SYK;RDX
GO_Biological_Process_2021,positive regulation of leukocyte degranulation (GO:0043302),3/14,6.108713311516053e-05,0.0256158711529573,0,0,49.27933884297521,478.167739021918,FGR;SYK;F2RL1
GO_Biological_Process_2021,regulation of mast cell degranulation (GO:0043304),3/16,9.320881236040478e-05,0.0287474837573894,0,0,41.69370629370629,386.945457789147,BLK;FGR;SYK
GO_Biological_Process_2021,cellular response to copper ion (GO:0071280),3/19,0.0001593038821785431,0.0287474837573894,0,0,33.871022727272724,296.1918298515644,MT2A;MT3;SNCA
GO_Biological_Process_2021,regulation of platelet activation (GO:0010543),3/22,0.0002500693323021975,0.0287474837573894,0,0,28.51866028708134,236.52727612926944,BLK;SYK;F2
GO_Biological_Process_2021,positive regulation of protein phosphorylation (GO:0001934),9/371,0.0002585508483559465,0.0287474837573894,0,0,4.667578623034424,38.55615130458858,TCL1B;CD4;RALB;DGKQ;TXN;IQGAP1;F2;MT3;SNCA
GO_Biological_Process_2021,response to copper ion (GO:0046688),3/23,0.0002863989715016328,0.0287474837573894,0,0,27.091363636363635,221.014723218045,MT2A;MT3;SNCA
GO_Biological_Process_2021,triglyceride catabolic process (GO:0019433),3/23,0.0002863989715016328,0.0287474837573894,0,0,27.091363636363635,221.014723218045,FABP2;LIPC;PNPLA4
GO_Biological_Process_2021,antigen processing and presentation of lipid antigen via MHC class Ib (GO:0048003),2/5,0.000312907902338157,0.0287474837573894,0,0,119.42342342342344,963.699454999233,CD1E;CD1B
GO_Biological_Process_2021,"antigen processing and presentation, endogenous lipid antigen via MHC class Ib (GO:0048006)",2/5,0.000312907902338157,0.0287474837573894,0,0,119.42342342342344,963.699454999233,CD1E;CD1B
GO_Biological_Process_2021,"antigen processing and presentation, exogenous lipid antigen via MHC class Ib (GO:0048007)",2/5,0.000312907902338157,0.0287474837573894,0,0,119.42342342342344,963.699454999233,CD1E;CD1B
GO_Biological_Process_2021,positive regulation of mast cell activation involved in immune response (GO:0033008),2/5,0.000312907902338157,0.0287474837573894,0,0,119.42342342342344,963.699454999233,FGR;SYK
GO_Biological_Process_2021,innate immune response (GO:0045087),8/302,0.0003199243025464645,0.0287474837573894,0,0,5.077551020408163,40.86121683266172,CFD;BLK;FGR;SYK;MX1;IFIT1;S100B;SNCA
GO_Biological_Process_2021,regulation by virus of viral protein levels in host cell (GO:0046719),2/7,0.000652263198553378,0.0519024638983394,0,0,71.64684684684684,525.5340922939538,STAT1;IFIT1
