Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pfam_Domains_2019	Homeodomain	11/217	5.621166e-03	3.382033e-01	0	0	2.574397e+00	1.333851e+01	NKX6-3;DPRX;CERS6;GBX2;SIX2;ALX3;HOXC4;OTX1;HOXB7;MIXL1;DRGX
Pfam_Domains_2019	Hormone 1	2/6	6.039345e-03	3.382033e-01	0	0	2.382360e+01	1.217257e+02	CSH2;CSH1
Pfam_Domains_2019	Chromo	3/26	1.598097e-02	4.381094e-01	0	0	6.223966e+00	2.574454e+01	CBX4;CBX1;MPHOSPH8
Pfam_Domains_2019	Insulin	2/10	1.715433e-02	4.381094e-01	0	0	1.190937e+01	4.841759e+01	IGF1;INS
Pfam_Domains_2019	BTB 2	4/50	1.955846e-02	4.381094e-01	0	0	4.154566e+00	1.634551e+01	KCTD8;KCNC1;TNFAIP1;KCTD17
Pfam_Domains_2019	Sulfotransfer 2	2/12	2.448492e-02	4.570519e-01	0	0	9.526521e+00	3.534051e+01	CHST11;HS6ST1
Pfam_Domains_2019	PBD	2/14	3.285729e-02	4.786532e-01	0	0	7.937956e+00	2.711274e+01	CDC42EP4;CDC42EP1
Pfam_Domains_2019	SAM 2	3/38	4.329633e-02	4.786532e-01	0	0	4.087526e+00	1.283355e+01	SAMD15;KAZN;TP73
Pfam_Domains_2019	SRCR	2/18	5.234554e-02	4.786532e-01	0	0	5.952251e+00	1.755848e+01	MARCO;HHIPL1
Pfam_Domains_2019	HLH	5/106	6.875685e-02	4.786532e-01	0	0	2.364347e+00	6.329779e+00	NCOA1;HES6;NEUROD2;FIGLA;ID2
Pfam_Domains_2019	zf-RING 2	3/52	9.220095e-02	4.786532e-01	0	0	2.917571e+00	6.954861e+00	RNF43;RNF181;RNF111
Pfam_Domains_2019	MARVEL	2/25	9.349061e-02	4.786532e-01	0	0	4.139215e+00	9.809502e+00	PLLP;CMTM2
Pfam_Domains_2019	LysM	1/5	9.908211e-02	4.786532e-01	0	0	1.188289e+01	2.747094e+01	LYSMD2
Pfam_Domains_2019	Cu-oxidase 3	1/5	9.908211e-02	4.786532e-01	0	0	1.188289e+01	2.747094e+01	F5
Pfam_Domains_2019	DAN	1/5	9.908211e-02	4.786532e-01	0	0	1.188289e+01	2.747094e+01	DAND5
Pfam_Domains_2019	HSR	1/5	9.908211e-02	4.786532e-01	0	0	1.188289e+01	2.747094e+01	AIRE
Pfam_Domains_2019	Guanylate kin	2/26	9.994975e-02	4.786532e-01	0	0	3.966545e+00	9.135301e+00	CACNB1;CACNB4
Pfam_Domains_2019	CAMSAP CH	1/6	1.176907e-01	4.786532e-01	0	0	9.505825e+00	2.033957e+01	CAMSAP3
Pfam_Domains_2019	MHC I 3	1/6	1.176907e-01	4.786532e-01	0	0	9.505825e+00	2.033957e+01	CD1B
Pfam_Domains_2019	SMC N	1/6	1.176907e-01	4.786532e-01	0	0	9.505825e+00	2.033957e+01	SMC1B
Pfam_Domains_2019	SMC hinge	1/6	1.176907e-01	4.786532e-01	0	0	9.505825e+00	2.033957e+01	SMC1B
Pfam_Domains_2019	14-3-3	1/7	1.359158e-01	4.786532e-01	0	0	7.921117e+00	1.580833e+01	YWHAE
Pfam_Domains_2019	NAD binding 6	1/7	1.359158e-01	4.786532e-01	0	0	7.921117e+00	1.580833e+01	NOX5
Pfam_Domains_2019	Peptidase M16 C	1/7	1.359158e-01	4.786532e-01	0	0	7.921117e+00	1.580833e+01	UQCRC1
Pfam_Domains_2019	FAD binding 8	1/7	1.359158e-01	4.786532e-01	0	0	7.921117e+00	1.580833e+01	NOX5
Pfam_Domains_2019	SIX1 SD	1/7	1.359158e-01	4.786532e-01	0	0	7.921117e+00	1.580833e+01	SIX2
Pfam_Domains_2019	STAT bind	1/7	1.359158e-01	4.786532e-01	0	0	7.921117e+00	1.580833e+01	STAT1
Pfam_Domains_2019	STAT int	1/7	1.359158e-01	4.786532e-01	0	0	7.921117e+00	1.580833e+01	STAT1
Pfam_Domains_2019	MBDa	1/8	1.537654e-01	4.786532e-01	0	0	6.789182e+00	1.271157e+01	MBD3L4
Pfam_Domains_2019	Folate rec	1/8	1.537654e-01	4.786532e-01	0	0	6.789182e+00	1.271157e+01	HHIPL1
Pfam_Domains_2019	CH	3/66	1.557498e-01	4.786532e-01	0	0	2.267596e+00	4.216604e+00	CLMN;SMTNL2;SPTBN1
Pfam_Domains_2019	Interfer-bind	1/9	1.712471e-01	4.786532e-01	0	0	5.940231e+00	1.048241e+01	IL20RA
Pfam_Domains_2019	VHS	1/9	1.712471e-01	4.786532e-01	0	0	5.940231e+00	1.048241e+01	STAM
Pfam_Domains_2019	DnaJ C	1/9	1.712471e-01	4.786532e-01	0	0	5.940231e+00	1.048241e+01	DNAJB1
Pfam_Domains_2019	Pyridoxal deC	1/9	1.712471e-01	4.786532e-01	0	0	5.940231e+00	1.048241e+01	GAD1
Pfam_Domains_2019	TGF beta	2/37	1.773640e-01	4.786532e-01	0	0	2.718387e+00	4.701590e+00	BMP2;GDF7
Pfam_Domains_2019	zf-RING UBOX	2/38	1.848122e-01	4.786532e-01	0	0	2.642741e+00	4.462045e+00	TRIM6;RNF224
Pfam_Domains_2019	Serpin	2/38	1.848122e-01	4.786532e-01	0	0	2.642741e+00	4.462045e+00	SERPING1;SERPINA9
Pfam_Domains_2019	Arrestin C	1/10	1.883685e-01	4.786532e-01	0	0	5.279935e+00	8.814087e+00	SAG
Pfam_Domains_2019	Arrestin N	1/10	1.883685e-01	4.786532e-01	0	0	5.279935e+00	8.814087e+00	SAG
Pfam_Domains_2019	HMG box 2	1/10	1.883685e-01	4.786532e-01	0	0	5.279935e+00	8.814087e+00	HMGB2
Pfam_Domains_2019	EF-hand 8	2/39	1.923042e-01	4.786532e-01	0	0	2.571184e+00	4.239052e+00	GUCA1A;NOX5
Pfam_Domains_2019	Hairy orange	1/11	2.051371e-01	4.786532e-01	0	0	4.751699e+00	7.527057e+00	HES6
Pfam_Domains_2019	2OG-FeII Oxy 3	1/11	2.051371e-01	4.786532e-01	0	0	4.751699e+00	7.527057e+00	P3H2
Pfam_Domains_2019	E2F TDP	1/11	2.051371e-01	4.786532e-01	0	0	4.751699e+00	7.527057e+00	TFDP3
Pfam_Domains_2019	R3H	1/11	2.051371e-01	4.786532e-01	0	0	4.751699e+00	7.527057e+00	R3HDM4
Pfam_Domains_2019	Ribosomal L7Ae	1/11	2.051371e-01	4.786532e-01	0	0	4.751699e+00	7.527057e+00	RPL7A
Pfam_Domains_2019	GAIN	1/11	2.051371e-01	4.786532e-01	0	0	4.751699e+00	7.527057e+00	ADGRB1
Pfam_Domains_2019	UBX	1/13	2.376444e-01	5.282183e-01	0	0	3.959345e+00	5.689498e+00	UBXN7
Pfam_Domains_2019	DnaJ	2/45	2.379106e-01	5.282183e-01	0	0	2.211735e+00	3.175743e+00	DNAJB1;DNAJB9
Pfam_Domains_2019	Myotub-related	1/14	2.533973e-01	5.282183e-01	0	0	3.654593e+00	5.017013e+00	MTMR7
Pfam_Domains_2019	Forkhead	2/49	2.686281e-01	5.282183e-01	0	0	2.023088e+00	2.659203e+00	FOXI2;FOXI1
Pfam_Domains_2019	ARID	1/15	2.688254e-01	5.282183e-01	0	0	3.393377e+00	4.457857e+00	ARID3B
Pfam_Domains_2019	OAR	1/15	2.688254e-01	5.282183e-01	0	0	3.393377e+00	4.457857e+00	DRGX
Pfam_Domains_2019	Cyt-b5	1/15	2.688254e-01	5.282183e-01	0	0	3.393377e+00	4.457857e+00	PGRMC1
Pfam_Domains_2019	Dynamin N	1/15	2.688254e-01	5.282183e-01	0	0	3.393377e+00	4.457857e+00	MX1
Pfam_Domains_2019	EF-hand 6	1/15	2.688254e-01	5.282183e-01	0	0	3.393377e+00	4.457857e+00	NOX5
Pfam_Domains_2019	TRAM LAG1 CLN8	1/16	2.839355e-01	5.482892e-01	0	0	3.166990e+00	3.987267e+00	CERS6
Pfam_Domains_2019	Thyroglobulin 1	1/17	2.987340e-01	5.670883e-01	0	0	2.968902e+00	3.587032e+00	TACSTD2
Pfam_Domains_2019	Kringle	1/18	3.132274e-01	5.729886e-01	0	0	2.794118e+00	3.243484e+00	PIK3IP1
Pfam_Domains_2019	GRAM	1/18	3.132274e-01	5.729886e-01	0	0	2.794118e+00	3.243484e+00	WBP2
Pfam_Domains_2019	LSM	1/19	3.274221e-01	5.729886e-01	0	0	2.638754e+00	2.946183e+00	SNRPB
Pfam_Domains_2019	MHC I	1/19	3.274221e-01	5.729886e-01	0	0	2.638754e+00	2.946183e+00	ULBP2
Pfam_Domains_2019	PAS	1/19	3.274221e-01	5.729886e-01	0	0	2.638754e+00	2.946183e+00	NCOA1
Pfam_Domains_2019	SAM 1	2/62	3.673613e-01	6.156217e-01	0	0	1.583698e+00	1.585930e+00	SCML1;KAZN
Pfam_Domains_2019	DEP	1/22	3.682737e-01	6.156217e-01	0	0	2.261442e+00	2.259020e+00	DVL2
Pfam_Domains_2019	Spectrin	1/22	3.682737e-01	6.156217e-01	0	0	2.261442e+00	2.259020e+00	SPTBN1
Pfam_Domains_2019	C1-set	2/63	3.747783e-01	6.172819e-01	0	0	1.557656e+00	1.528716e+00	SIRPA;CD1B
Pfam_Domains_2019	F5 F8 type C	1/23	3.813332e-01	6.189756e-01	0	0	2.158539e+00	2.081008e+00	F5
Pfam_Domains_2019	zf-B box	2/68	4.112947e-01	6.516498e-01	0	0	1.439283e+00	1.278724e+00	TRIM6;TRIM4
Pfam_Domains_2019	PID	1/26	4.189177e-01	6.516498e-01	0	0	1.899223e+00	1.652478e+00	DAB2
Pfam_Domains_2019	FERM C	1/26	4.189177e-01	6.516498e-01	0	0	1.899223e+00	1.652478e+00	RDX
Pfam_Domains_2019	zf-CCHC	1/28	4.426998e-01	6.522192e-01	0	0	1.758360e+00	1.432824e+00	SF1
Pfam_Domains_2019	Ets	1/28	4.426998e-01	6.522192e-01	0	0	1.758360e+00	1.432824e+00	SPIB
Pfam_Domains_2019	S 100	1/28	4.426998e-01	6.522192e-01	0	0	1.758360e+00	1.432824e+00	S100A4
Pfam_Domains_2019	HECT	1/28	4.426998e-01	6.522192e-01	0	0	1.758360e+00	1.432824e+00	HERC4
Pfam_Domains_2019	Thioredoxin	1/29	4.542241e-01	6.522192e-01	0	0	1.695475e+00	1.338009e+00	TMX4
Pfam_Domains_2019	FERM N	1/29	4.542241e-01	6.522192e-01	0	0	1.695475e+00	1.338009e+00	RDX
Pfam_Domains_2019	KH 1	1/35	5.185454e-01	7.105631e-01	0	0	1.395845e+00	9.166903e-01	SF1
Pfam_Domains_2019	RA	1/35	5.185454e-01	7.105631e-01	0	0	1.395845e+00	9.166903e-01	ARHGAP20
Pfam_Domains_2019	RGS	1/35	5.185454e-01	7.105631e-01	0	0	1.395845e+00	9.166903e-01	RGS2
Pfam_Domains_2019	EF-hand 7	2/84	5.202337e-01	7.105631e-01	0	0	1.157498e+00	7.563985e-01	GUCA1A;PPP2R3B
Pfam_Domains_2019	UQ con	1/40	5.663291e-01	7.642032e-01	0	0	1.216580e+00	6.917226e-01	UBE2E3
Pfam_Domains_2019	ubiquitin	1/42	5.840904e-01	7.787871e-01	0	0	1.157116e+00	6.221807e-01	UBL4B
Pfam_Domains_2019	IL8	1/46	6.174652e-01	7.977450e-01	0	0	1.054045e+00	5.081896e-01	CCL4L1
Pfam_Domains_2019	SH3 1	2/101	6.203195e-01	7.977450e-01	0	0	9.579002e-01	4.574171e-01	STAM;FNBP1L
Pfam_Domains_2019	FERM M	1/47	6.253827e-01	7.977450e-01	0	0	1.031079e+00	4.839795e-01	RDX
Pfam_Domains_2019	ABC tran	1/49	6.407307e-01	7.977450e-01	0	0	9.880158e-01	4.398113e-01	ABCD3
Pfam_Domains_2019	C1 1	1/49	6.407307e-01	7.977450e-01	0	0	9.880158e-01	4.398113e-01	CDC42BPG
Pfam_Domains_2019	PX	1/50	6.481678e-01	7.977450e-01	0	0	9.678027e-01	4.196447e-01	SNX24
Pfam_Domains_2019	HMG box	1/50	6.481678e-01	7.977450e-01	0	0	9.678027e-01	4.196447e-01	HMGB2
Pfam_Domains_2019	PHD	1/52	6.625844e-01	8.066245e-01	0	0	9.297544e-01	3.826938e-01	AIRE
Pfam_Domains_2019	Cadherin	2/114	6.854446e-01	8.217387e-01	0	0	8.461505e-01	3.195805e-01	CLSTN1;PCDHGB1
Pfam_Domains_2019	TSP 1	1/56	6.896736e-01	8.217387e-01	0	0	8.619594e-01	3.202497e-01	ADGRB1
Pfam_Domains_2019	PH	3/177	7.111242e-01	8.383780e-01	0	0	8.163583e-01	2.783032e-01	PHETA2;PLEKHM2;GAB3
Pfam_Domains_2019	Pkinase	6/347	7.249795e-01	8.458095e-01	0	0	8.320376e-01	2.675931e-01	ERN1;CDC42BPG;PBK;PRKX;TRIB1;SCYL1
Pfam_Domains_2019	Cadherin 2	1/65	7.429530e-01	8.521995e-01	0	0	7.404050e-01	2.199910e-01	PCDHGB1
Pfam_Domains_2019	RhoGAP	1/66	7.482783e-01	8.521995e-01	0	0	7.289768e-01	2.113889e-01	ARHGAP20
Pfam_Domains_2019	I-set	2/134	7.674824e-01	8.521995e-01	0	0	7.172086e-01	1.898019e-01	SIGLEC11;LRIG2
Pfam_Domains_2019	ig	1/70	7.685013e-01	8.521995e-01	0	0	6.865766e-01	1.807846e-01	CD4
Pfam_Domains_2019	RhoGEF	1/70	7.685013e-01	8.521995e-01	0	0	6.865766e-01	1.807846e-01	ARHGEF1
Pfam_Domains_2019	Ig 2	1/75	7.915158e-01	8.629314e-01	0	0	6.400223e-01	1.496407e-01	FCRL1
Pfam_Domains_2019	SH3 9	1/76	7.958372e-01	8.629314e-01	0	0	6.314563e-01	1.441998e-01	PACSIN3
Pfam_Domains_2019	RRM 1	3/206	8.012934e-01	8.629314e-01	0	0	6.986904e-01	1.547795e-01	RBM3;RBM38;RBM18
Pfam_Domains_2019	SH2	1/100	8.765408e-01	9.349769e-01	0	0	4.777876e-01	6.295903e-02	STAT1
Pfam_Domains_2019	PDZ	1/117	9.135777e-01	9.584993e-01	0	0	4.074113e-01	3.682462e-02	DVL2
Pfam_Domains_2019	Trypsin	1/121	9.205379e-01	9.584993e-01	0	0	3.937500e-01	3.260136e-02	PRSS58
Pfam_Domains_2019	Pkinase Tyr	1/128	9.313995e-01	9.584993e-01	0	0	3.719135e-01	2.643077e-02	KSR2
Pfam_Domains_2019	BTB	1/129	9.328252e-01	9.584993e-01	0	0	3.689889e-01	2.565856e-02	ZBTB44
Pfam_Domains_2019	Ras	1/136	9.420107e-01	9.591381e-01	0	0	3.497303e-01	2.089243e-02	RAB34
Pfam_Domains_2019	V-set	2/380	9.969392e-01	9.999957e-01	0	0	2.472869e-01	7.580492e-04	SIGLEC11;SIRPA
Pfam_Domains_2019	zf-C2H2	1/675	9.999957e-01	9.999957e-01	0	0	6.810881e-02	2.941033e-07	ZBTB44
InterPro_Domains_2019	Transcription factor AP-2, C-terminal	2/5	4.081864e-03	3.757096e-01	0	0	3.176642e+01	1.747535e+02	TFAP2A;TFAP2B
InterPro_Domains_2019	Homeobox domain	12/247	5.465964e-03	3.757096e-01	0	0	2.464307e+00	1.283711e+01	NKX6-3;DPRX;CERS6;GBX2;SIX2;ALX3;HOXC4;OTX1;MEIS3;HOXB7;MIXL1;DRGX
InterPro_Domains_2019	CRIB domain	3/18	5.663964e-03	3.757096e-01	0	0	9.547317e+00	4.939430e+01	CDC42BPG;CDC42EP4;CDC42EP1
InterPro_Domains_2019	Chromo domain	3/26	1.598097e-02	4.177246e-01	0	0	6.223966e+00	2.574454e+01	CBX4;CBX1;MPHOSPH8
InterPro_Domains_2019	Chromo domain subgroup	2/10	1.715433e-02	4.177246e-01	0	0	1.190937e+01	4.841759e+01	CBX4;CBX1
InterPro_Domains_2019	Cullin, N-terminal	2/10	1.715433e-02	4.177246e-01	0	0	1.190937e+01	4.841759e+01	CACUL1;ANAPC2
InterPro_Domains_2019	Insulin-like	2/10	1.715433e-02	4.177246e-01	0	0	1.190937e+01	4.841759e+01	IGF1;INS
InterPro_Domains_2019	GPCR, family 2, extracellular hormone receptor domain	3/27	1.770877e-02	4.177246e-01	0	0	5.964329e+00	2.405829e+01	ADGRB1;SCTR;PTH1R
InterPro_Domains_2019	Potassium channel tetramerisation-type BTB domain	4/50	1.955846e-02	4.177246e-01	0	0	4.154566e+00	1.634551e+01	KCTD8;KCNC1;TNFAIP1;KCTD17
InterPro_Domains_2019	Calponin homology domain	5/81	2.614953e-02	4.177246e-01	0	0	3.146124e+00	1.146424e+01	CAMSAP3;SPEF2;CLMN;SMTNL2;SPTBN1
InterPro_Domains_2019	Chromo/chromo shadow domain	3/33	3.017789e-02	4.177246e-01	0	0	4.770000e+00	1.669808e+01	CBX4;CBX1;MPHOSPH8
InterPro_Domains_2019	Neurotransmitter-gated ion-channel transmembrane domain	3/46	6.918084e-02	4.177246e-01	0	0	3.325695e+00	8.883035e+00	CHRNA2;HTR3C;HTR3A
InterPro_Domains_2019	Neurotransmitter-gated ion-channel ligand-binding domain	3/47	7.281420e-02	4.177246e-01	0	0	3.249945e+00	8.514349e+00	CHRNA2;HTR3C;HTR3A
InterPro_Domains_2019	FCH domain	2/23	8.096487e-02	4.177246e-01	0	0	4.533889e+00	1.139702e+01	PACSIN3;FNBP1L
InterPro_Domains_2019	SAP domain	2/23	8.096487e-02	4.177246e-01	0	0	4.533889e+00	1.139702e+01	MAMSTR;SARNP
InterPro_Domains_2019	TGF-beta, propeptide	2/23	8.096487e-02	4.177246e-01	0	0	4.533889e+00	1.139702e+01	BMP2;GDF7
InterPro_Domains_2019	Palmitoyltransferase, DHHC domain	2/24	8.715957e-02	4.177246e-01	0	0	4.327582e+00	1.055936e+01	ZDHHC9;ZDHHC15
InterPro_Domains_2019	Myc-type, basic helix-loop-helix (bHLH) domain	5/114	8.753091e-02	4.177246e-01	0	0	2.189917e+00	5.334120e+00	NCOA1;HES6;NEUROD2;FIGLA;ID2
InterPro_Domains_2019	Keratin type II head	2/25	9.349061e-02	4.177246e-01	0	0	4.139215e+00	9.809502e+00	KRT85;KRT83
InterPro_Domains_2019	MHC class I-like antigen recognition-like	2/25	9.349061e-02	4.177246e-01	0	0	4.139215e+00	9.809502e+00	ULBP2;CD1B
InterPro_Domains_2019	F-BAR domain	2/25	9.349061e-02	4.177246e-01	0	0	4.139215e+00	9.809502e+00	PACSIN3;FNBP1L
