Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Pfam_Domains_2019,Homeodomain,11/217,0.005621165686449,0.3382033217474717,0,0,2.574397430324108,13.33850972031956,NKX6-3;DPRX;CERS6;GBX2;SIX2;ALX3;HOXC4;OTX1;HOXB7;MIXL1;DRGX
Pfam_Domains_2019,Hormone 1,2/6,0.0060393450312048,0.3382033217474717,0,0,23.823600973236008,121.72572935459004,CSH2;CSH1
InterPro_Domains_2019,CRIB domain,3/18,0.0056639644055868,0.3757096389039282,0,0,9.547317073170731,49.39429755225769,CDC42BPG;CDC42EP4;CDC42EP1
InterPro_Domains_2019,Homeobox domain,12/247,0.0054659644671461,0.3757096389039282,0,0,2.464307316814347,12.837105880851285,NKX6-3;DPRX;CERS6;GBX2;SIX2;ALX3;HOXC4;OTX1;MEIS3;HOXB7;MIXL1;DRGX
InterPro_Domains_2019,"Transcription factor AP-2, C-terminal",2/5,0.0040818636923189,0.3757096389039282,0,0,31.766423357664237,174.75349924061524,TFAP2A;TFAP2B
InterPro_Domains_2019,SAND domain,1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,AIRE
InterPro_Domains_2019,Marvel domain,2/28,0.1132207752907833,0.4177246158210742,0,0,3.661051843533596,7.975292458424341,PLLP;CMTM2
InterPro_Domains_2019,Guanylate kinase/L-type calcium channel beta subunit,2/26,0.0999497519407315,0.4177246158210742,0,0,3.96654501216545,9.135301028508502,CACNB1;CACNB4
InterPro_Domains_2019,SRCR-like domain,2/26,0.0999497519407315,0.4177246158210742,0,0,3.96654501216545,9.135301028508502,MARCO;HHIPL1
InterPro_Domains_2019,"Hypoxia induced protein, domain",1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,HIGD1B
InterPro_Domains_2019,HSR domain,1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,AIRE
InterPro_Domains_2019,HIT-like domain,1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,APTX
InterPro_Domains_2019,Thioredoxin-like fold,1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,NXNL1
InterPro_Domains_2019,FAD-binding domain,1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,COQ6
InterPro_Domains_2019,"Dullard phosphatase domain, eukaryotic",1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,CTDSP2
InterPro_Domains_2019,DAN,1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,DAND5
InterPro_Domains_2019,"Multicopper oxidase, type 3",1/5,0.0990821127025535,0.4177246158210742,0,0,11.882888349514564,27.47093675925825,F5
InterPro_Domains_2019,SRCR domain,2/25,0.0934906097857561,0.4177246158210742,0,0,4.139215064000847,9.809502094882516,MARCO;HHIPL1
InterPro_Domains_2019,F-BAR domain,2/25,0.0934906097857561,0.4177246158210742,0,0,4.139215064000847,9.809502094882516,PACSIN3;FNBP1L
InterPro_Domains_2019,MHC class I-like antigen recognition-like,2/25,0.0934906097857561,0.4177246158210742,0,0,4.139215064000847,9.809502094882516,ULBP2;CD1B
InterPro_Domains_2019,Keratin type II head,2/25,0.0934906097857561,0.4177246158210742,0,0,4.139215064000847,9.809502094882516,KRT85;KRT83
InterPro_Domains_2019,"Myc-type, basic helix-loop-helix (bHLH) domain",5/114,0.0875309145505582,0.4177246158210742,0,0,2.189917251304192,5.334119936890287,NCOA1;HES6;NEUROD2;FIGLA;ID2
InterPro_Domains_2019,"Palmitoyltransferase, DHHC domain",2/24,0.0871595680896113,0.4177246158210742,0,0,4.327582393275824,10.559364760179347,ZDHHC9;ZDHHC15
InterPro_Domains_2019,Forkhead-associated (FHA) domain,2/34,0.1553347817626105,0.4177246158210742,0,0,2.973692214111922,5.537528188466221,MDC1;APTX
InterPro_Domains_2019,Chromo domain,3/26,0.015980973795921,0.4177246158210742,0,0,6.223966065747614,25.744541882399925,CBX4;CBX1;MPHOSPH8
