protein,ligand,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm,pair_chains_iptm,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2,micromolar_affinity_pred_value
A0A075B6J2,CER_d18_0_16_0_C16,0.6115688681602478,0.8507766127586365,0.639412522315979,0.639412522315979,0.0,0.604607880115509,0.28079065680503845,0.8409555554389954,3.0478148460388184,"{'0': 0.9265360832214355, '1': 0.6922888159751892}","{'0': {'0': 0.9265360832214355, '1': 0.3061755895614624}, '1': {'0': 0.639412522315979, '1': 0.6922888159751892}}",1.0861999988555908,0.41766732931137085,0.8541688323020935,0.41729098558425903,1.3182311058044434,0.41804370284080505,12.195510904460452
A0A075B6K0,CER_d18_0_16_0_C16,0.7030326128005981,0.7898175716400146,0.6094018220901489,0.6094018220901489,0.0,0.7264403104782104,0.46443188190460205,1.1973259449005127,3.8575286865234375,"{'0': 0.8546650409698486, '1': 0.6438630223274231}","{'0': {'0': 0.8546650409698486, '1': 0.22063584625720978}, '1': {'0': 0.6094018220901489, '1': 0.6438630223274231}}",0.9248619079589844,0.4673038125038147,0.594266951084137,0.5453935265541077,1.255456805229187,0.38921406865119934,8.411276468764997
A0A075B6K2,CER_d18_0_16_0_C16,0.7435269355773926,0.7257392406463623,0.8389610052108765,0.8389610052108765,0.0,0.719668447971344,0.3204728662967682,0.6597473621368408,2.3887600898742676,"{'0': 0.8708232641220093, '1': 0.7682575583457947}","{'0': {'0': 0.8708232641220093, '1': 0.1841670721769333}, '1': {'0': 0.8389610052108765, '1': 0.7682575583457947}}",1.0824507474899292,0.333509624004364,0.8673169612884521,0.27550292015075684,1.2975845336914062,0.3915162980556488,12.09068057062104
A0A075B6K6,CER_d18_0_16_0_C16,0.7744025588035583,0.8023171424865723,0.817362904548645,0.817362904548645,0.0,0.7636623978614807,0.3853422701358795,0.5299872159957886,1.559150218963623,"{'0': 0.9078057408332825, '1': 0.7126707434654236}","{'0': {'0': 0.9078057408332825, '1': 0.19709226489067078}, '1': {'0': 0.817362904548645, '1': 0.7126707434654236}}",0.7248345613479614,0.4723016917705536,0.15469366312026978,0.5214783549308777,1.2949755191802979,0.4231250286102295,5.306822494437587
A0A075B6S2,CER_d18_0_16_0_C16,0.876930832862854,0.8858038187026978,0.8675270676612854,0.8675270676612854,0.0,0.879281759262085,0.7154860496520996,0.5193665027618408,1.1479203701019287,"{'0': 0.8931367993354797, '1': 0.7802765369415283}","{'0': {'0': 0.8931367993354797, '1': 0.4731338322162628}, '1': {'0': 0.8675270676612854, '1': 0.7802765369415283}}",0.8493168950080872,0.4311261773109436,0.35923445224761963,0.48164480924606323,1.3393993377685547,0.3806075155735016,7.068331265246502
A0A075B6S6,CER_d18_0_16_0_C16,0.8335334658622742,0.8405999541282654,0.7569455504417419,0.7569455504417419,0.0,0.8526804447174072,0.7242499589920044,0.7777923345565796,2.519650936126709,"{'0': 0.869999349117279, '1': 0.7305946946144104}","{'0': {'0': 0.869999349117279, '1': 0.3476993143558502}, '1': {'0': 0.7569455504417419, '1': 0.7305946946144104}}",0.8545081615447998,0.3644220232963562,0.37355202436447144,0.4146210551261902,1.3354642391204834,0.31422296166419983,7.153328369496572
A0A087WWS6,CER_d18_0_16_0_C16,0.7620844841003418,0.8841398358345032,0.816081166267395,0.816081166267395,0.0,0.7485853433609009,0.572968065738678,0.7953011989593506,1.9786412715911865,"{'0': 0.8992462754249573, '1': 0.6827990412712097}","{'0': {'0': 0.8992462754249573, '1': 0.269474595785141}, '1': {'0': 0.816081166267395, '1': 0.6827990412712097}}",0.929397702217102,0.6378466486930847,0.6006165742874146,0.8694271445274353,1.2581788301467896,0.40626615285873413,8.499584624429412
A0A096LPK9,CER_d18_0_16_0_C16,0.8128523826599121,0.8954751491546631,0.8163314461708069,0.8163314461708069,0.0,0.8119825720787048,0.5923746228218079,0.7216314673423767,2.1427738666534424,"{'0': 0.9054820537567139, '1': 0.7259823679924011}","{'0': {'0': 0.9054820537567139, '1': 0.32433778047561646}, '1': {'0': 0.8163314461708069, '1': 0.7259823679924011}}",0.6113226413726807,0.217426136136055,-0.21807974576950073,0.07187336683273315,1.4407250881195068,0.36297890543937683,4.08622843274032
A0A0A0MS06,CER_d18_0_16_0_C16,0.645286500453949,0.8568339943885803,0.6333668231964111,0.6333668231964111,0.0,0.6482663750648499,0.3440150022506714,0.8596788644790649,2.6168899536132812,"{'0': 0.9349269866943359, '1': 0.646224856376648}","{'0': {'0': 0.9349269866943359, '1': 0.2550421357154846}, '1': {'0': 0.6333668231964111, '1': 0.646224856376648}}",0.7079772353172302,0.37563616037368774,0.23024842143058777,0.39642640948295593,1.1857060194015503,0.35484594106674194,5.1047824122004295
A0A0A0MS15,CER_d18_0_16_0_C16,0.7626437544822693,0.8071908354759216,0.663895845413208,0.663895845413208,0.0,0.787330687046051,0.4767448604106903,0.9307152032852173,4.248347282409668,"{'0': 0.8595243096351624, '1': 0.6339550018310547}","{'0': {'0': 0.8595243096351624, '1': 0.2238328903913498}, '1': {'0': 0.663895845413208, '1': 0.6339550018310547}}",0.8230401277542114,0.47478920221328735,0.24033123254776,0.6099653244018555,1.4057490825653076,0.33961305022239685,6.6533462866378015
A0A0A0MTA7,CER_d18_0_16_0_C16,0.5139643549919128,0.7853633761405945,0.7336556911468506,0.7336556911468506,0.0,0.4590415358543396,0.3862169086933136,0.42349112033843994,0.777850866317749,"{'0': 0.9133784174919128, '1': 0.709452211856842}","{'0': {'0': 0.9133784174919128, '1': 0.5472268462181091}, '1': {'0': 0.7336556911468506, '1': 0.709452211856842}}",-0.21711593866348267,0.7422623634338379,0.06541700661182404,0.7802271246910095,-0.4996488690376282,0.7042976021766663,0.6065743777023789
A0A0A6YYK1,CER_d18_0_16_0_C16,0.8099563717842102,0.8506143689155579,0.7789058089256287,0.7789058089256287,0.0,0.8177189826965332,0.5978056192398071,0.5321125984191895,1.2562191486358643,"{'0': 0.9117469787597656, '1': 0.7553974390029907}","{'0': {'0': 0.9117469787597656, '1': 0.3732869625091553}, '1': {'0': 0.7789058089256287, '1': 0.7553974390029907}}",0.47058379650115967,0.6107462644577026,-0.20255814492702484,0.7502061128616333,1.1437257528305054,0.4712863564491272,2.955179031054656
A0A0A6YYK6,CER_d18_0_16_0_C16,0.7455543875694275,0.7663788199424744,0.7203166484832764,0.7203166484832764,0.0,0.7518638372421265,0.4255766272544861,0.6174474358558655,1.9228432178497314,"{'0': 0.8761387467384338, '1': 0.7391346096992493}","{'0': {'0': 0.8761387467384338, '1': 0.21896688640117645}, '1': {'0': 0.7203166484832764, '1': 0.7391346096992493}}",0.6979759931564331,0.5455868244171143,0.25021588802337646,0.628486156463623,1.1457360982894897,0.46268752217292786,4.988569109852184
A0A0B4J1V0,CER_d18_0_16_0_C16,0.7965337038040161,0.8628368377685547,0.7927314639091492,0.7927314639091492,0.0,0.7974842190742493,0.507250189781189,0.6615013480186462,2.5389914512634277,"{'0': 0.8912222385406494, '1': 0.730884850025177}","{'0': {'0': 0.8912222385406494, '1': 0.35635611414909363}, '1': {'0': 0.7927314639091492, '1': 0.730884850025177}}",0.9125186204910278,0.46543094515800476,0.28990182280540466,0.5767979025840759,1.5351353883743286,0.3540639877319336,8.175580902120307
A0A0B4J1V2,CER_d18_0_16_0_C16,0.7701484560966492,0.8643420934677124,0.731819212436676,0.731819212436676,0.0,0.7797307372093201,0.49978888034820557,0.7674960494041443,2.7586827278137207,"{'0': 0.9098955988883972, '1': 0.6802023649215698}","{'0': {'0': 0.9098955988883972, '1': 0.3143499195575714}, '1': {'0': 0.731819212436676, '1': 0.6802023649215698}}",1.132857322692871,0.4307548403739929,0.6472030878067017,0.47641652822494507,1.618511438369751,0.3850931227207184,13.578672777269873
A0A0B4J1V7,CER_d18_0_16_0_C16,0.7968068718910217,0.8021297454833984,0.6448648571968079,0.6448648571968079,0.0,0.8347923755645752,0.6027975678443909,0.8685321807861328,3.4711530208587646,"{'0': 0.8574471473693848, '1': 0.610054075717926}","{'0': {'0': 0.8574471473693848, '1': 0.21084052324295044}, '1': {'0': 0.6448648571968079, '1': 0.610054075717926}}",0.4654645025730133,0.48776695132255554,-0.027642743661999702,0.5985273718833923,0.95857173204422,0.37700653076171875,2.9205490369042004
A0A0B4J1Y8,CER_d18_0_16_0_C16,0.6448151469230652,0.7613384127616882,0.34688735008239746,0.34688735008239746,0.0,0.7192970514297485,0.24997738003730774,0.9498099684715271,5.44413423538208,"{'0': 0.8899098634719849, '1': 0.6498619318008423}","{'0': {'0': 0.8899098634719849, '1': 0.10409953445196152}, '1': {'0': 0.34688735008239746, '1': 0.6498619318008423}}",0.6333531737327576,0.36133134365081787,0.12299631536006927,0.3151310384273529,1.1437100172042847,0.40753161907196045,4.298858732552685
